ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test,AUC_overfitting,Qini_overfitting,
100,0.7,5,7,0.876,0.683,0.070,0.003,0.193,0.067,
100,0.7,5,9,0.894,0.680,0.075,0.003,0.214,0.072,
100,0.7,5,11,0.897,0.694,0.074,0.001,0.203,0.073,
100,0.7,7,3,0.782,0.666,0.043,0.004,0.115,0.039,
100,0.7,7,5,0.856,0.669,0.057,-0.001,0.187,0.058,
100,0.7,7,7,0.887,0.690,0.068,0.000,0.197,0.069,
100,0.7,7,9,0.900,0.674,0.078,0.003,0.226,0.075,
100,0.7,7,11,0.911,0.674,0.080,0.000,0.238,0.080,
100,0.7,9,3,0.766,0.641,0.037,0.001,0.125,0.037,
100,0.7,9,5,0.851,0.659,0.059,0.004,0.192,0.056,
100,0.7,9,7,0.891,0.667,0.070,0.005,0.224,0.066,
100,0.7,9,9,0.908,0.670,0.076,-0.002,0.237,0.077,
100,0.7,9,11,0.921,0.675,0.079,-0.003,0.246,0.082,
100,0.7,10,3,0.780,0.657,0.036,0.005,0.123,0.032,
100,0.7,10,5,0.843,0.665,0.056,0.004,0.179,0.052,
100,0.7,10,7,0.880,0.673,0.067,0.004,0.207,0.063,
100,0.7,10,9,0.914,0.677,0.077,0.004,0.238,0.073,
100,0.7,10,11,0.927,0.666,0.078,0.007,0.261,0.071,
100,0.7,12,3,0.773,0.639,0.037,0.003,0.134,0.034,
100,0.7,12,5,0.848,0.660,0.058,0.006,0.188,0.052,
100,0.7,12,7,0.892,0.671,0.068,0.003,0.221,0.065,
100,0.7,12,9,0.910,0.668,0.076,0.002,0.242,0.073,
100,0.7,12,11,0.919,0.671,0.079,-0.001,0.248,0.080,
100,0.9,5,3,0.763,0.661,0.039,0.007,0.102,0.033,
100,0.9,5,5,0.850,0.689,0.060,0.007,0.160,0.053,
100,0.9,5,7,0.896,0.697,0.076,0.006,0.199,0.070,
100,0.9,5,9,0.912,0.692,0.079,0.004,0.220,0.075,
100,0.9,5,11,0.922,0.679,0.083,0.003,0.243,0.080,
100,0.9,7,3,0.768,0.632,0.044,0.006,0.136,0.038,
100,0.9,7,5,0.859,0.681,0.061,0.005,0.178,0.057,
100,0.9,7,7,0.903,0.667,0.075,0.001,0.236,0.074,
100,0.9,7,9,0.918,0.674,0.082,-0.002,0.244,0.084,
100,0.9,7,11,0.929,0.677,0.086,0.003,0.253,0.083,
100,0.9,9,3,0.765,0.638,0.042,0.004,0.127,0.038,
100,0.9,9,5,0.860,0.674,0.063,0.005,0.186,0.058,
100,0.9,9,7,0.899,0.676,0.075,0.001,0.223,0.074,
100,0.9,9,9,0.932,0.679,0.083,0.001,0.252,0.082,
100,0.9,9,11,0.937,0.680,0.085,0.004,0.257,0.081,
100,0.9,10,3,0.762,0.642,0.042,0.007,0.119,0.035,
100,0.9,10,5,0.853,0.664,0.062,0.006,0.189,0.056,
100,0.9,10,7,0.912,0.677,0.076,0.003,0.235,0.073,
100,0.9,10,9,0.924,0.677,0.081,0.002,0.247,0.080,
100,0.9,10,11,0.942,0.675,0.086,0.003,0.267,0.083,
100,0.9,12,3,0.740,0.620,0.039,0.007,0.119,0.032,
100,0.9,12,5,0.844,0.663,0.058,0.006,0.181,0.052,
100,0.9,12,7,0.915,0.660,0.077,0.004,0.255,0.074,
100,0.9,12,9,0.931,0.672,0.084,0.000,0.259,0.084,
100,0.9,12,11,0.937,0.674,0.083,0.002,0.264,0.081,
,,,,,,,,,,
50,0.1,5,NA,0.703,0.646,0.018,0.001,0.057,0.017,
50,0.1,7,NA,0.714,0.641,0.019,0.004,0.073,0.015,
50,0.1,9,NA,0.723,0.665,0.017,0.006,0.058,0.011,
50,0.1,10,NA,0.731,0.658,0.013,-0.004,0.073,0.017,
50,0.1,12,NA,0.729,0.667,0.020,0.004,0.062,0.016,
50,0.3,5,NA,0.802,0.664,0.043,-0.001,0.138,0.044,
50,0.3,7,NA,0.811,0.674,0.046,0.002,0.137,0.044,
50,0.3,9,NA,0.814,0.675,0.043,-0.001,0.139,0.044,
50,0.3,10,NA,0.827,0.670,0.048,0.000,0.157,0.048,
50,0.3,12,NA,0.826,0.674,0.050,0.006,0.152,0.044,
50,0.5,5,NA,0.864,0.673,0.052,-0.001,0.191,0.053,
50,0.5,7,NA,0.870,0.688,0.065,0.003,0.182,0.062,
50,0.5,9,NA,0.876,0.669,0.063,0.006,0.207,0.057,
50,0.5,10,NA,0.880,0.685,0.067,0.004,0.195,0.063,
50,0.5,12,NA,0.875,0.643,0.060,-0.001,0.232,0.061,
50,0.7,5,NA,0.903,0.673,0.074,0.002,0.230,0.072,
50,0.7,7,NA,0.908,0.681,0.074,0.002,0.227,0.072,
50,0.7,9,NA,0.909,0.679,0.075,0.001,0.230,0.074,
50,0.7,10,NA,0.919,0.651,0.076,-0.002,0.268,0.078,
50,0.7,12,NA,0.919,0.662,0.077,-0.001,0.257,0.078,
50,0.9,5,NA,0.919,0.683,0.082,0.002,0.236,0.080,
50,0.9,7,NA,0.935,0.666,0.086,0.000,0.269,0.086,
50,0.9,9,NA,0.939,0.668,0.085,-0.001,0.271,0.086,
