k,ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test
86,100,0.7,9,3,0.765953463064908,0.640895852003585,0.0373878204899389,0.000509043038495203
87,100,0.7,9,5,0.85146268083472,0.658963320957624,0.0594252205610439,0.00365622318393199
88,100,0.7,9,7,0.890747023428498,0.666912047113046,0.0700566269687723,0.00451355206439997
89,100,0.7,9,9,0.907556650876968,0.670368710792472,0.0757202519229039,-0.00166487000498306
90,100,0.7,9,11,0.921464921264883,0.675436883881705,0.0793374673209847,-0.00272444825828523
91,100,0.7,10,3,0.78010498015619,0.656890923057227,0.0364513195111748,0.0047210129459588
92,100,0.7,10,5,0.84344834208168,0.664750032006145,0.0562652615106522,0.00430651952602399
93,100,0.7,10,7,0.880013762642427,0.673054026373064,0.0674374511867248,0.0039887602748821
94,100,0.7,10,9,0.914242734605044,0.676737933683267,0.0769105462375049,0.00353029028817502
95,100,0.7,10,11,0.92655869927026,0.665891051081808,0.0781871517034494,0.00669389025562093
96,100,0.7,12,3,0.772934003328639,0.639124311867879,0.0373218556397805,0.00336045221617624
97,100,0.7,12,5,0.848364485981308,0.659925105620279,0.0584923604993339,0.00617188269679157
98,100,0.7,12,7,0.892376136218154,0.671324094226091,0.0683187672854322,0.00332568502783517
99,100,0.7,12,9,0.9095730380233,0.667885033926514,0.0757194666270687,0.00225889633095508
100,100,0.7,12,11,0.91929010369991,0.670967225707336,0.0786731784349197,-0.00118762430876119
101,100,0.9,5,3,0.762880873127641,0.660786070925618,0.0393866839526938,0.00659115928226816
102,100,0.9,5,5,0.849596722570734,0.689260337984893,0.0597229904636529,0.00694968252631098
103,100,0.9,5,7,0.895528741518371,0.69658014338753,0.075784217838209,0.00555435460818735
104,100,0.9,5,9,0.912210344386122,0.691806426833952,0.0794262057503644,0.00425775979370992
105,100,0.9,5,11,0.921604147996415,0.678763922673153,0.0827724226947641,0.00269016652555139
106,100,0.9,7,3,0.768342721802586,0.63212456791704,0.0436649756629682,0.0057346156976354
107,100,0.9,7,5,0.859209768275509,0.681141979260018,0.0612965805363713,0.0046530491609471
108,100,0.9,7,7,0.903251824350275,0.667395339905262,0.0750064180086897,0.00141156212475353
109,100,0.9,7,9,0.918134681858917,0.674289463577007,0.0821808807592525,-0.00183435112432946
110,100,0.9,7,11,0.929391243118679,0.676817949046217,0.086224154843205,0.00272814628776381
111,100,0.9,9,3,0.764802842145692,0.638039303546281,0.0423456072692694,0.00436127606289792
112,100,0.9,9,5,0.860101139418768,0.673668544360517,0.0633741877542395,0.00534332420010481
113,100,0.9,9,7,0.899190244526949,0.676126616310332,0.0753069721419872,0.000975508764615426
114,100,0.9,9,9,0.931604468057867,0.679312828062988,0.0830354254090321,0.000603778272434833
115,100,0.9,9,11,0.937035910894892,0.680079375240046,0.0848708045570003,0.00380650025058076
116,100,0.9,10,3,0.761567020868007,0.642126488285751,0.0422708613838626,0.00726822707328809
117,100,0.9,10,5,0.853427858148765,0.664247535526821,0.0616303312663395,0.00577737862538961
118,100,0.9,10,7,0.911589425169633,0.676873959800282,0.0755739727259617,0.0028204542436673
119,100,0.9,10,9,0.924276661118935,0.677104404045577,0.0814798257499932,0.00178086533889799
120,100,0.9,10,11,0.941851235437204,0.675324862373576,0.0860411095230684,0.0027189369093326
121,100,0.9,12,3,0.739828447061836,0.620341505569069,0.0393379242203797,0.00701721796813983
122,100,0.9,12,5,0.844384521828191,0.663396172065037,0.0582853279609579,0.00626219171784178
123,100,0.9,12,7,0.915452566892843,0.660329983356804,0.0772910577649338,0.00355549114543251
124,100,0.9,12,9,0.931061963897068,0.671624951990782,0.0839834916537331,0.000397531029894071
125,100,0.9,12,11,0.937291960056331,0.673649340673409,0.0828571632544373,0.00181284829655055
