,cor,
pat_region_MW_interact,0.0173086738334583,0.316723434912348
pat_region_S_interact,-0.0279595674537096,0.105769122910818
pat_region_W_interact,-0.014606258843786,0.398180396374394
idx_paytype_C_interact,-0.0178551432136504,0.301683870547282
idx_paytype_M_interact,0.0020589324358605,0.905204535496019
idx_paytype_R_interact,-0.0229619126670678,0.18407935598218
idx_paytype_S_interact,-0.0137421951887468,0.426677380014809
idx_paytype_U_interact,-0.0132411992287878,0.443730760224225
idx_prodtype_D_interact,-0.000588867776670962,0.972829073722556
idx_prodtype_H_interact,-0.0261261427053395,0.130686100626053
idx_prodtype_I_interact,-0.0276722695400974,0.109403753947041
idx_prodtype_P_interact,-0.0187645318561018,0.277726085519637
idx_prodtype_S_interact,0.0229884061130293,0.183573637418475
idx_prodtype_U_interact,-0.0114655006976282,0.507209022320575
idx_spec_01_interact,-0.00994248527240632,0.56523007827113
idx_spec_02_interact,-0.0216869450443069,0.209650558322261
idx_spec_03_interact,-0.0516447360820979,0.0027976239527486
idx_spec_04_interact,0.0239445693137614,0.16600367155434
idx_spec_05_interact,0.0215494964552945,0.212553727342407
age_1_interact,0.00367306216838701,0.831754635266473
age_2_interact,0.00206849950843664,0.90476614910762
age_3_interact,-0.031958636675155,0.0644622422169206
age_4_interact,-0.015563951875612,0.367972253938405
pchrlson_1_interact,-0.0687690808955876,6.82403374527594e-05
pchrlson_2_interact,0.0373422174330957,0.0307232735101997
pchrlson_3_interact,0.029892157809921,0.0837450903487991
num_pre_meds_1_interact,-0.0751434832481871,1.34608701079806e-05
num_pre_meds_2_interact,-0.079758061991582,3.82646223756042e-06
num_pre_meds_3_interact,0.0116348884035451,0.500954806868478
num_pre_meds_4_interact,0.0940312246220332,5.01227250815361e-08
num_pre_op_dx_1_interact,-0.0730699855723809,2.31573338269225e-05
num_pre_op_dx_2_interact,-0.0878941415487017,3.5117287164986e-07
num_pre_op_dx_3_interact,0.00550422401939815,0.750205530162931
num_pre_op_dx_4_interact,0.0876083855470557,3.83321587360541e-07
pre_non_ms_total_allowed_1_interact,-0.0767270469905246,8.81096783157252e-06
pre_non_ms_total_allowed_2_interact,-0.0492174696415109,0.00439287013961575
pre_non_ms_total_allowed_3_interact,0.00463721371931373,0.788530547590282
pre_non_ms_total_allowed_4_interact,0.0771461647015202,7.86530331664537e-06
pre_ms_total_allowed_1_interact,-0.048458234920844,0.00503968328101981
pre_ms_total_allowed_2_interact,-0.0117221731195422,0.497748058466213
pre_ms_total_allowed_3_interact,-0.0028669857890732,0.868292584015938
pre_ms_total_allowed_4_interact,0.0206048404005508,0.233293936213526
pre_non_ms_pharmacy_allowed_1_interact,-0.0597843939878705,0.000538086766197789
pre_non_ms_pharmacy_allowed_2_interact,-0.0353808090996405,0.040650484134206
pre_non_ms_pharmacy_allowed_3_interact,-0.0012314959845767,0.943214608913187
pre_non_ms_pharmacy_allowed_4_interact,0.0490482269432942,0.00453016176132026
pre_ms_pharmacy_allowed_1_interact,-0.0525967480895086,0.00233207879451079
pre_ms_pharmacy_allowed_2_interact,0.0123689958328586,0.474328698730778
pre_ms_pharmacy_allowed_3_interact,-0.0029800470369543,0.863148864325693
pre_ms_pharmacy_allowed_4_interact,-0.0041369580466476,0.810885441958162
pre_non_ms_medical_allowed_1_interact,-0.0704268429797452,4.53127024484563e-05
pre_non_ms_medical_allowed_2_interact,-0.0584197089847879,0.00071985872925191
pre_non_ms_medical_allowed_3_interact,-0.00626318266144258,0.717151841579951
pre_non_ms_medical_allowed_4_interact,0.0933349844303663,6.29064031976156e-08
pre_ms_medical_allowed_1_interact,-0.0632966146102114,0.000247560846529934
pre_ms_medical_allowed_2_interact,-0.0486657908219328,0.00485481307572355
pre_ms_medical_allowed_3_interact,0.0260805917214594,0.131358640647748
pre_ms_medical_allowed_4_interact,0.0342843222692443,0.047300615616459
pre_rx_any_interact,-0.00512939119427958,0.766705127681683
pre_rx2_interact,0.00839889188270933,0.627106865167618
pre_rx3_interact,0.0445793599002835,0.0098867303895096
pre_rx4_interact,0.0260763937627631,0.131420756370523
pre_rx5_interact,-0.00992873498722375,0.565768096281762
pre_rx6_interact,0.00290172124907014,0.866711691228416
pre_rx7_interact,-0.0269403190428231,0.11911028507216
pre_rx9_interact,-0.018737093280139,0.278429451586926
